127.0.0.1 - - [26/May/2021:17:49:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/grid/grid.css HTTP/1.1" 200 8600
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/css/all.css HTTP/1.1" 200 73625
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/css/style.css HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/img/img2.png HTTP/1.1" 200 81335
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/img/icons8-web-design-64.png HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/webfonts/fa-brands-400.eot? HTTP/1.1" 200 134346
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34034
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:33 +0530] "GET /EmployeeManagement1/webfonts/fa-solid-900.eot? HTTP/1.1" 200 203030
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:52 +0530] "GET /EmployeeManagement1/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/css/all.css HTTP/1.1" 200 73625
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/grid/grid.css HTTP/1.1" 200 8600
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/css/style.css HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/img/img2.png HTTP/1.1" 200 81335
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/img/icons8-web-design-64.png HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 76764
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /EmployeeManagement1/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/May/2021:17:49:55 +0530] "GET /EmployeeManagement1/login.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [26/May/2021:17:50:04 +0530] "GET /EmployeeManagement1/EmployeeControllerServelet?command=LOGIN&username=admin&pass=admin&submit=submit HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [26/May/2021:17:52:25 +0530] "GET /EmployeeManagement1/EmployeeControllerServelet?command=LOGIN&username=admin&pass=admin&submit=submit HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [26/May/2021:17:52:45 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
