127.0.0.1 - - [15/Sep/2021:14:19:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:31 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:31 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 200 8600
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:31 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 200 73625
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:31 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:31 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:31 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 200 81335
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:32 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 200 134346
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:32 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34034
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:32 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 200 203030
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:34 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:36 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:37 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:19:38 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:05 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:05 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 200 73625
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:05 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 200 8600
